feature,importance
title_has_senior,0.07403047
title_has_junior,0.040840603
analyst,0.036544796
vp,0.030246899
president,0.029709978
intern,0.02799328
head,0.019313281
category_label_Teaching Jobs,0.01797286
cluster_str_12,0.017723143
scientist ai,0.012099327
science engineer,0.012080589
staff,0.0116486065
engineer,0.010414297
bi,0.009579868
uk,0.009341413
category_label_Admin Jobs,0.009190696
sql,0.009114827
director,0.009038545
data science,0.008885641
credit,0.0085425805
strategy,0.008535646
trading,0.008144347
data analyst,0.008063986
cluster_str_14,0.007834734
ii,0.007829377
science manager,0.007757394
category_label_IT Jobs,0.0075527127
senior data,0.007495687
software,0.0072756773
technical,0.0072404174
2026,0.0071882033
category_label_Scientific & QA Jobs,0.007110423
engineering,0.0071026846
product manager,0.007014046
senior,0.006606005
start,0.006542979
principal,0.006436905
quantitative,0.0064034476
region_grouped_London,0.006311136
"category_label_PR, Advertising & Marketing Jobs",0.006300089
financial,0.0061379354
security,0.006030981
ml,0.0059988024
lead,0.0059920675
assistant,0.0058673774
process,0.005717815
products,0.005663404
risk,0.00564115
science ai,0.005584774
mi,0.0054031974
cluster_str_5,0.005283539
insurance,0.005274961
analytics,0.005174095
markets,0.0051199254
researcher,0.005091984
contract_time_unknown,0.0050411834
associate,0.0050191223
solutions,0.0048965425
product,0.004838021
data business,0.0048328848
finance,0.0047288854
operations,0.004586428
governance,0.004458768
applied data,0.004246599
software engineer,0.004222758
cluster_str_1,0.00421057
project,0.004168431
scientist,0.0041401293
cluster_str_9,0.0041110157
lead data,0.004074741
ai data,0.0040535396
senior analytics,0.0040117535
category_label_Engineering Jobs,0.0039732405
commercial,0.0039651142
ai,0.0039527584
architect,0.0038398772
manager,0.003798841
description_length,0.0037664406
contract_type_unknown,0.0037573809
chain,0.0037359998
emea,0.0037077288
data,0.0035848985
team,0.0035742987
power bi,0.0035555805
data engineer,0.0035548357
title_word_count,0.003480832
client,0.0034734989
digital,0.0034694953
quant,0.0034588089
manager data,0.0034439596
intelligence,0.0034324392
region_grouped_Northern Ireland,0.0033707658
category_label_Accounting & Finance Jobs,0.0033559457
reporting,0.0032786853
cluster_str_2,0.0032617345
sales,0.0032431025
science,0.0032299836
asset,0.0032146908
market,0.0031952655
contract_type_contract,0.0031573144
group,0.0031521427
development,0.0031150423
data engineering,0.0031072258
research,0.0030696136
contract_time_part_time,0.003065084
supply,0.0030418122
business analyst,0.003040218
developer,0.003027409
machine,0.0030081219
category_label_Logistics & Warehouse Jobs,0.0029887746
junior,0.0029841908
services,0.0029295492
marketing,0.0029266872
advanced,0.0028095078
data scientist,0.0027889602
category_label_Consultancy Jobs,0.0027444356
n_keywords_matched,0.0027234843
region_grouped_UK,0.0026603434
senior software,0.002659499
senior product,0.0025772022
applied,0.0025711337
cluster_str_3,0.0025379066
data architect,0.0025259128
technology,0.0025017678
specialist,0.0024302865
data analytics,0.002418664
consultant,0.002368015
category_label_HR & Recruitment Jobs,0.0023355999
month,0.0023331721
power platform,0.0022788444
equity,0.0022658708
data platform,0.0022184358
platform,0.0021910842
consulting,0.0021858953
region_grouped_South West England,0.0021815246
strategic,0.0021221887
principal data,0.0021216108
data governance,0.0020997028
bi developer,0.002052068
systems,0.0020434114
product data,0.0020192715
platform engineer,0.002015669
asset management,0.0019785645
engineering manager,0.0019352417
region_grouped_Yorkshire And The Humber,0.0018805003
region_grouped_North East England,0.0018642774
staff data,0.0018534936
bi analyst,0.0018391863
power,0.0018156251
pricing,0.0018029949
planning,0.0018006905
learning,0.001775485
investment,0.0017584616
management,0.0017018062
contract,0.0016870217
category_label_Part time Jobs,0.001672316
london,0.0016563989
cluster_str_-1,0.0016496483
region_grouped_Eastern England,0.001632818
junior data,0.0015596393
insights,0.001531987
cluster_str_13,0.0015242252
director data,0.0015092657
data reporting,0.0015082925
ftc,0.0014735884
analytics engineer,0.001468667
performance,0.0014449956
cluster_str_7,0.0014449932
months,0.0014092498
analyst data,0.0013927151
contract_type_permanent,0.0013821443
region_grouped_Scotland,0.0013516468
ey,0.001342084
category_label_Retail Jobs,0.0013076584
remote,0.0013034733
